datetime,temperature,pressure,humidity
2018/12/06 00:25:42,20.39 C,1011.94 hPA,70.47 %RH
2018/12/06 00:25:43,20.38 C,1011.95 hPA,70.49 %RH
2018/12/06 00:25:44,20.38 C,1011.95 hPA,70.51 %RH
2018/12/06 00:25:45,20.38 C,1011.93 hPA,70.53 %RH
2018/12/06 00:25:46,20.37 C,1011.94 hPA,70.55 %RH
2018/12/06 00:25:47,20.37 C,1011.95 hPA,70.58 %RH
2018/12/06 00:25:48,20.36 C,1011.93 hPA,70.60 %RH
2018/12/06 00:25:49,20.35 C,1011.95 hPA,70.63 %RH
2018/12/06 00:25:51,20.35 C,1011.96 hPA,70.67 %RH
2018/12/06 00:25:52,20.34 C,1011.94 hPA,70.69 %RH
2018/12/06 00:25:53,20.33 C,1011.94 hPA,70.71 %RH
2018/12/06 00:25:54,20.33 C,1011.96 hPA,70.74 %RH
2018/12/06 00:25:55,20.32 C,1011.94 hPA,70.78 %RH
2018/12/06 00:25:56,20.31 C,1011.95 hPA,70.82 %RH
2018/12/06 00:25:57,20.31 C,1011.97 hPA,70.85 %RH
2018/12/06 00:25:58,20.30 C,1011.96 hPA,70.86 %RH
2018/12/06 00:25:59,20.29 C,1011.96 hPA,70.89 %RH
2018/12/06 00:26:00,20.29 C,1011.97 hPA,70.92 %RH
2018/12/06 00:26:01,20.28 C,1011.93 hPA,70.95 %RH
2018/12/06 00:26:02,20.27 C,1011.94 hPA,70.98 %RH
2018/12/06 00:26:03,20.27 C,1011.97 hPA,71.00 %RH
2018/12/06 00:26:04,20.26 C,1011.95 hPA,71.02 %RH
2018/12/06 00:26:05,20.25 C,1011.96 hPA,71.05 %RH
2018/12/06 00:26:06,20.25 C,1011.97 hPA,71.10 %RH
2018/12/06 00:26:07,20.24 C,1011.96 hPA,71.11 %RH
2018/12/06 00:26:08,20.24 C,1011.97 hPA,71.11 %RH
2018/12/06 00:26:09,20.23 C,1011.98 hPA,71.15 %RH
2018/12/06 00:26:10,20.22 C,1011.97 hPA,71.16 %RH
2018/12/06 00:26:11,20.22 C,1011.99 hPA,71.17 %RH
2018/12/06 00:26:12,20.21 C,1012.00 hPA,71.20 %RH
2018/12/06 00:26:13,20.21 C,1011.99 hPA,71.24 %RH
2018/12/06 00:26:14,20.20 C,1012.00 hPA,71.26 %RH
2018/12/06 00:26:16,20.19 C,1012.01 hPA,71.26 %RH
2018/12/06 00:26:17,20.19 C,1011.99 hPA,71.27 %RH
2018/12/06 00:26:18,20.18 C,1012.00 hPA,71.31 %RH
2018/12/06 00:26:19,20.18 C,1012.01 hPA,71.33 %RH
2018/12/06 00:26:20,20.17 C,1012.02 hPA,71.34 %RH
2018/12/06 00:26:21,20.17 C,1011.99 hPA,71.36 %RH
2018/12/06 00:26:22,20.16 C,1012.00 hPA,71.39 %RH
2018/12/06 00:26:23,20.15 C,1012.01 hPA,71.42 %RH
2018/12/06 00:26:24,20.15 C,1011.97 hPA,71.44 %RH
2018/12/06 00:26:25,20.14 C,1011.98 hPA,71.46 %RH
2018/12/06 00:26:26,20.14 C,1012.00 hPA,71.48 %RH
2018/12/06 00:26:27,20.13 C,1011.98 hPA,71.50 %RH
2018/12/06 00:26:28,20.13 C,1012.00 hPA,71.52 %RH
2018/12/06 00:26:29,20.12 C,1012.01 hPA,71.56 %RH
2018/12/06 00:26:30,20.11 C,1012.02 hPA,71.56 %RH
2018/12/06 00:26:31,20.11 C,1012.00 hPA,71.57 %RH
2018/12/06 00:26:32,20.10 C,1012.01 hPA,71.60 %RH
2018/12/06 00:26:33,20.10 C,1012.01 hPA,71.61 %RH
2018/12/06 00:26:34,20.09 C,1012.00 hPA,71.62 %RH
2018/12/06 00:26:35,20.08 C,1012.01 hPA,71.65 %RH
2018/12/06 00:26:36,20.08 C,1012.02 hPA,71.67 %RH
2018/12/06 00:26:37,20.07 C,1012.00 hPA,71.67 %RH
2018/12/06 00:26:38,20.07 C,1012.00 hPA,71.69 %RH
2018/12/06 00:26:40,20.06 C,1012.02 hPA,71.71 %RH
2018/12/06 00:26:41,20.06 C,1012.03 hPA,71.73 %RH
2018/12/06 00:26:42,20.06 C,1012.04 hPA,71.74 %RH
2018/12/06 00:26:43,20.05 C,1012.01 hPA,71.78 %RH
2018/12/06 00:26:44,20.05 C,1012.02 hPA,71.80 %RH
2018/12/06 00:26:45,20.04 C,1012.04 hPA,71.82 %RH
2018/12/06 00:26:46,20.04 C,1012.02 hPA,71.84 %RH
2018/12/06 00:26:47,20.03 C,1012.03 hPA,71.90 %RH
2018/12/06 00:26:48,20.03 C,1012.04 hPA,71.94 %RH
2018/12/06 00:26:49,20.02 C,1012.04 hPA,71.95 %RH
2018/12/06 00:26:50,20.02 C,1012.05 hPA,71.98 %RH
2018/12/06 00:26:51,20.02 C,1012.00 hPA,72.01 %RH
2018/12/06 00:26:52,20.01 C,1012.01 hPA,72.06 %RH
2018/12/06 00:26:53,20.01 C,1012.01 hPA,72.07 %RH
2018/12/06 00:26:54,20.00 C,1012.02 hPA,72.12 %RH
2018/12/06 00:26:55,20.00 C,1011.99 hPA,72.16 %RH
2018/12/06 00:26:56,19.99 C,1012.00 hPA,72.18 %RH
2018/12/06 00:26:57,19.99 C,1012.00 hPA,72.20 %RH
2018/12/06 00:26:58,19.98 C,1012.02 hPA,72.24 %RH
2018/12/06 00:26:59,19.98 C,1012.03 hPA,72.28 %RH
2018/12/06 00:27:00,19.98 C,1012.01 hPA,72.31 %RH
2018/12/06 00:27:01,19.97 C,1012.02 hPA,72.37 %RH
2018/12/06 00:27:02,19.97 C,1012.02 hPA,72.43 %RH
2018/12/06 00:27:03,19.96 C,1012.03 hPA,72.51 %RH
2018/12/06 00:27:05,19.96 C,1012.02 hPA,72.56 %RH
2018/12/06 00:27:06,19.95 C,1012.02 hPA,72.61 %RH
2018/12/06 00:27:07,19.95 C,1012.03 hPA,72.68 %RH
2018/12/06 00:27:08,19.95 C,1012.03 hPA,72.71 %RH
2018/12/06 00:27:09,19.94 C,1012.01 hPA,72.75 %RH
2018/12/06 00:27:10,19.94 C,1012.01 hPA,72.73 %RH
2018/12/06 00:27:11,19.93 C,1012.02 hPA,72.73 %RH
2018/12/06 00:27:12,19.93 C,1012.03 hPA,72.72 %RH
2018/12/06 00:27:13,19.92 C,1012.04 hPA,72.68 %RH
2018/12/06 00:27:14,19.92 C,1012.02 hPA,72.68 %RH
2018/12/06 00:27:15,19.92 C,1012.02 hPA,72.67 %RH
2018/12/06 00:27:16,19.91 C,1012.03 hPA,72.63 %RH
2018/12/06 00:27:17,19.91 C,1012.03 hPA,72.63 %RH
2018/12/06 00:27:18,19.90 C,1012.03 hPA,72.61 %RH
2018/12/06 00:27:19,19.90 C,1012.01 hPA,72.61 %RH
2018/12/06 00:27:20,19.90 C,1012.02 hPA,72.61 %RH
2018/12/06 00:27:21,19.89 C,1012.03 hPA,72.60 %RH
2018/12/06 00:27:22,19.89 C,1012.05 hPA,72.61 %RH
2018/12/06 00:27:23,19.89 C,1012.05 hPA,72.61 %RH
2018/12/06 00:27:24,19.88 C,1012.03 hPA,72.61 %RH
2018/12/06 00:27:25,19.88 C,1012.04 hPA,72.61 %RH
2018/12/06 00:27:26,19.87 C,1012.05 hPA,72.63 %RH
2018/12/06 00:27:27,19.87 C,1012.05 hPA,72.62 %RH
2018/12/06 00:27:28,19.87 C,1012.06 hPA,72.64 %RH
2018/12/06 00:27:29,19.86 C,1012.01 hPA,72.64 %RH
2018/12/06 00:27:31,19.86 C,1012.01 hPA,72.67 %RH
2018/12/06 00:27:32,19.86 C,1012.02 hPA,72.68 %RH
2018/12/06 00:27:33,19.85 C,1012.02 hPA,72.69 %RH
2018/12/06 00:27:34,19.85 C,1012.03 hPA,72.69 %RH
2018/12/06 00:27:35,19.84 C,1012.01 hPA,72.72 %RH
2018/12/06 00:27:36,19.84 C,1012.01 hPA,72.75 %RH
2018/12/06 00:27:37,19.84 C,1012.01 hPA,72.76 %RH
2018/12/06 00:27:38,19.83 C,1012.02 hPA,72.78 %RH
2018/12/06 00:27:39,19.83 C,1012.03 hPA,72.80 %RH
2018/12/06 00:27:40,19.83 C,1012.04 hPA,72.81 %RH
2018/12/06 00:27:41,19.83 C,1012.02 hPA,72.85 %RH
2018/12/06 00:27:42,19.82 C,1012.03 hPA,72.84 %RH
2018/12/06 00:27:43,19.82 C,1012.03 hPA,72.87 %RH
2018/12/06 00:27:44,19.82 C,1012.04 hPA,72.88 %RH
2018/12/06 00:27:45,19.81 C,1012.05 hPA,72.90 %RH
2018/12/06 00:27:46,19.80 C,1012.03 hPA,72.91 %RH
2018/12/06 00:27:47,19.80 C,1012.04 hPA,72.92 %RH
2018/12/06 00:27:48,19.80 C,1012.05 hPA,72.95 %RH
2018/12/06 00:27:49,19.79 C,1012.06 hPA,72.95 %RH
2018/12/06 00:27:50,19.79 C,1012.05 hPA,72.98 %RH
2018/12/06 00:27:51,19.79 C,1012.04 hPA,72.98 %RH
2018/12/06 00:27:52,19.78 C,1012.05 hPA,72.99 %RH
2018/12/06 00:27:53,19.78 C,1012.04 hPA,73.01 %RH
2018/12/06 00:27:54,19.78 C,1012.05 hPA,73.02 %RH
2018/12/06 00:27:56,19.77 C,1012.06 hPA,73.01 %RH
2018/12/06 00:27:57,19.77 C,1012.06 hPA,73.02 %RH
2018/12/06 00:27:58,19.77 C,1012.04 hPA,73.04 %RH
2018/12/06 00:27:59,19.76 C,1012.04 hPA,73.03 %RH
2018/12/06 00:28:00,19.76 C,1012.04 hPA,73.03 %RH
2018/12/06 00:28:01,19.76 C,1012.05 hPA,73.05 %RH
2018/12/06 00:28:02,19.76 C,1012.05 hPA,73.06 %RH
2018/12/06 00:28:03,19.75 C,1012.06 hPA,73.08 %RH
2018/12/06 00:28:04,19.75 C,1012.06 hPA,73.06 %RH
2018/12/06 00:28:05,19.75 C,1012.07 hPA,73.08 %RH
2018/12/06 00:28:06,19.74 C,1012.04 hPA,73.10 %RH
2018/12/06 00:28:07,19.74 C,1012.05 hPA,73.10 %RH
2018/12/06 00:28:08,19.74 C,1012.06 hPA,73.12 %RH
2018/12/06 00:28:09,19.74 C,1012.07 hPA,73.14 %RH
2018/12/06 00:28:10,19.73 C,1012.08 hPA,73.14 %RH
2018/12/06 00:28:11,19.73 C,1012.02 hPA,73.16 %RH
